Name	451Lu_DMSO_1	451Lu_DMSO_2	451Lu_Corin_1	451Lu_Corin_2	451Lu_PLX_1	451Lu_PLX_2	451Lu_PLX_Corin_1	451Lu_PLX_Corin_2	1205Lu_DMSO_1	1205Lu_DMSO_2	1205Lu_Corin_1	1205Lu_Corin_2	1205Lu_PLX_1	1205Lu_PLX_2	1205Lu_PLX_Corin_1	1205Lu_PLX_Corin_2
ENSG00000173805.15	0.849289298	0.95517038	349.5543883	358.2041252	0	0.971631364	450.9428705	439.0718087	4.610182305	1.917920064	197.6296714	214.1747661	1.061342678	1.107155452	225.80191	225.6361322
ENSG00000135363.12	0	0	18.21499294	18.47471133	0	0	21.15534454	20.44697148	5.532218767	1.917920064	62.08261929	54.87122106	3.184028033	5.53577726	46.57797247	60.73191152
ENSG00000109881.17	142.9125093	169.0651572	39.03212772	37.97579551	166.2006398	144.8984974	13.36127024	29.05622263	449.0317565	389.337773	148.9982863	148.6833087	375.7153079	384.1829418	176.1862437	195.4808402
ENSG00000110786.18	0.84563615	0	14.74547047	8.210982813	0	0	17.81502698	20.44697148	0	1.917920064	34.14544061	28.32063022	1.061342678	0	32.4020678	31.31489188
ENSG00000171017.11	19.44963145	21.01374836	93.67710654	86.21531954	17.29255212	18.35380967	156.9949253	161.4234591	1.734876144	0	0	0	0	0	0	0
ENSG00000129159.7	0	1.91034076	53.7775982	37.97579551	1.92139468	0.965989983	46.76444583	57.03628887	0.922036461	6.712720225	124.1652386	123.0177375	3.184028033	4.428621808	164.0354682	162.2680761
ENSG00000187486.5	0.872324427	0	65.05354621	44.13403262	1.922432233	1.931979965	62.46237955	66.72169641	0	0	88.03770688	82.30683159	0	1.107155452	96.34440966	103.4340368
ENSG00000166689.16	8.456361499	11.46443248	13.87808986	8.210982813	3.843836519	5.815356294	10.02095268	9.685407544	0	0	18.62861422	22.12549236	0	2.214310904	11.13821081	12.33616953
ENSG00000110693.18	2100.560196	2065.078361	238.5305368	262.8068742	2198.075513	2116.484052	54.55852014	54.88397608	125.3969587	120.828964	58.97848833	74.34165434	123.1157506	125.1085661	60.75387713	60.73191152
ENSG00000254645.2	66.80525584	67.81709697	0.867380616	2.052745703	80.69857654	82.10914852	4.453756746	1.076156394	0	0	5.173551608	5.310118167	0	1.107155452	3.037693856	1.897872235
ENSG00000139508.14	102.3219741	89.78601571	174.3435038	163.1932834	85.50206324	100.4629582	153.6546077	137.7480184	11.06443753	20.13816067	95.19334958	96.4671467	16.98148284	19.92879814	84.04286336	89.19999505
ENSG00000186104.10	23.6778122	31.52062254	116.2290026	121.1119965	31.70301221	28.01370949	113.570797	157.1188335	44.25775013	46.03008154	186.2478579	144.2582102	67.92593137	57.5720835	169.0982913	156.5744594
ENSG00000152270.9	1113.711266	1088.894233	621.0445211	628.8134858	1185.500517	1209.535377	358.9338234	331.4776924	51.63404182	39.31736132	299.3799803	295.596578	47.76042049	49.82199534	293.8816921	229.2809958
ENSG00000110328.6	42.2818075	36.29647444	232.4580051	246.3294844	37.46719625	43.46954922	169.2427564	192.6319945	375.2688397	345.2256116	1011.946694	995.6471563	335.3842861	331.0394801	966.999211	961.2722871
ENSG00000132274.16	0.570620898	0	2.351165267	0	0	0	0	1.45644854	222.2107871	241.6579281	30.89427731	20.35545297	290.8078937	324.9479108	27.33924471	33.2129539
ENSG00000197182.14	80.72569533	83.97084292	16.95659714	21.56789119	85.51042131	75.34721864	13.36127024	12.91473765	193.6599281	200.799518	217.3884997	221.2584637	187.8969236	208.1562965	201.0153407	145.9226515
ENSG00000213931.7	5.919453049	1.91034076	51.23036154	54.94594688	2.882092019	0.965989983	45.35438645	44.74034115	0	0	1.034710322	0	0	0	1.012564619	0
ENSG00000129757.13	115.0065164	101.2480603	306.1853575	315.0964655	85.50206324	84.04112848	272.7926007	283.0291316	5.532218767	3.835840129	33.11073029	35.40078778	5.306713388	4.428621808	103.2815911	120.5148869
ENSG00000132026.13	3.3825446	1.91034076	30.35832156	30.79118555	0.96069734	2.897969948	35.64118836	26.90390984	0	0.958960032	7.242972251	7.080157556	0	0	10.18751389	8.540425058
